category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
ה,13,A child's journy,,,,,אנגלית,,,,,TRUE ,FALSE,,
ה,14,I feel pretty,Leonard Bernstein,Mac Huff,Stephen Sondheim,,אנגלית,SSA,FALSE,Obligato,פסנתר,TRUE ,FALSE,,
ה,15,the lions sleep tonight,,,,,אנגלית,SAB,TRUE,None,,TRUE ,FALSE,,
ה,16,singing in the rain,נ.ה. בראון,ק. מקקליש,א. פריד,,אנגלית,SAB,TRUE,None,,TRUE ,FALSE,,
ה,17,Adiemus,Karl Jenkins,,Karl Jenkins,,ללא,SSA,FALSE,Obligato,פסנתר,TRUE ,FALSE,,
ה,18,Amatea Dea,Karl Jenkins,,Karl Jenkins,,ללא,SSA,FALSE,Obligato,פסנתר,TRUE ,FALSE,,
ח,101,סדר הדלקת נרות,אנונימי,,סדר תפילה,,עיברית,Unison,FALSE,None,,FALSE,FALSE,,
ש,1,Give it up,,,,,אנגלית,Canon,FALSE,None,,FALSE,FALSE,,
ש,2,הללויה,William Boyce,,,,עיברית,Canon,FALSE,None,,FALSE,FALSE,,
ש,3,קליפסו - קנון,,,,,אנגלית,Canon,FALSE,None,,FALSE,FALSE,,
ש,4,מנגינה,,,,,עיברית,Unison,FALSE,None,,FALSE,FALSE,,
